Deepsets Large Model 16-Bit QAT Model Prune Iter: 13, Test Accuracy: 0.5370967741935484, Val Accuracy: 0.5382236234620792, Val Loss: 1.1307783937778602, Phi Sparsities: (tensor(0.7760, device='cuda:0'), tensor(0.9648, device='cuda:0')), Rho Sparsities: (tensor(0.9316, device='cuda:0'), tensor(0.9663, device='cuda:0'), tensor(0.9326, device='cuda:0'), tensor(0.9719, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 14, Test Accuracy: 0.43729491955298405, Val Accuracy: 0.43794161931936343, Val Loss: 1.3494169517439238, Phi Sparsities: (tensor(0.8333, device='cuda:0'), tensor(0.9746, device='cuda:0')), Rho Sparsities: (tensor(0.9419, device='cuda:0'), tensor(0.9712, device='cuda:0'), tensor(0.9512, device='cuda:0'), tensor(0.9781, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 15, Test Accuracy: 0.40694697630181503, Val Accuracy: 0.4072472569066059, Val Loss: 1.3808462936051038, Phi Sparsities: (tensor(0.8542, device='cuda:0'), tensor(0.9824, device='cuda:0')), Rho Sparsities: (tensor(0.9502, device='cuda:0'), tensor(0.9780, device='cuda:0'), tensor(0.9658, device='cuda:0'), tensor(0.9812, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 16, Test Accuracy: 0.32796623603075215, Val Accuracy: 0.3283992313515402, Val Loss: 254.20829371692372, Phi Sparsities: (tensor(0.8854, device='cuda:0'), tensor(0.9834, device='cuda:0')), Rho Sparsities: (tensor(0.9556, device='cuda:0'), tensor(0.9858, device='cuda:0'), tensor(0.9775, device='cuda:0'), tensor(0.9844, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 17, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 573.0632477844654, Phi Sparsities: (tensor(0.8958, device='cuda:0'), tensor(0.9844, device='cuda:0')), Rho Sparsities: (tensor(0.9663, device='cuda:0'), tensor(0.9878, device='cuda:0'), tensor(0.9844, device='cuda:0'), tensor(0.9875, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 18, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 1.6094377924795864, Phi Sparsities: (tensor(0.9219, device='cuda:0'), tensor(0.9854, device='cuda:0')), Rho Sparsities: (tensor(0.9736, device='cuda:0'), tensor(0.9897, device='cuda:0'), tensor(0.9863, device='cuda:0'), tensor(0.9969, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 19, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 1.6094380617141724, Phi Sparsities: (tensor(0.9219, device='cuda:0'), tensor(0.9883, device='cuda:0')), Rho Sparsities: (tensor(0.9775, device='cuda:0'), tensor(0.9922, device='cuda:0'), tensor(0.9941, device='cuda:0'), tensor(0.9969, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 0, Test Accuracy: 0.6597210113339146, Val Accuracy: 0.6637063163936745, Val Loss: 0.8832986395375259, Phi Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0')), Rho Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 1, Test Accuracy: 0.6611001030355869, Val Accuracy: 0.6649857334187387, Val Loss: 0.8801060809570105, Phi Sparsities: (tensor(0.0885, device='cuda:0'), tensor(0.2402, device='cuda:0')), Rho Sparsities: (tensor(0.1470, device='cuda:0'), tensor(0.2544, device='cuda:0'), tensor(0.1680, device='cuda:0'), tensor(0.2313, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 2, Test Accuracy: 0.6618094634223667, Val Accuracy: 0.6656179550956235, Val Loss: 0.8787222460013668, Phi Sparsities: (tensor(0.1406, device='cuda:0'), tensor(0.4268, device='cuda:0')), Rho Sparsities: (tensor(0.2896, device='cuda:0'), tensor(0.4351, device='cuda:0'), tensor(0.3027, device='cuda:0'), tensor(0.4313, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 3, Test Accuracy: 0.6605769992866767, Val Accuracy: 0.6651504438029797, Val Loss: 0.880369638910099, Phi Sparsities: (tensor(0.1875, device='cuda:0'), tensor(0.5586, device='cuda:0')), Rho Sparsities: (tensor(0.4087, device='cuda:0'), tensor(0.5820, device='cuda:0'), tensor(0.4287, device='cuda:0'), tensor(0.5375, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 4, Test Accuracy: 0.659562495046366, Val Accuracy: 0.6632770711498948, Val Loss: 0.8844718101884232, Phi Sparsities: (tensor(0.2604, device='cuda:0'), tensor(0.6592, device='cuda:0')), Rho Sparsities: (tensor(0.5220, device='cuda:0'), tensor(0.6802, device='cuda:0'), tensor(0.5283, device='cuda:0'), tensor(0.6313, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 5, Test Accuracy: 0.6575176349369898, Val Accuracy: 0.6606649973796075, Val Loss: 0.890959252711056, Phi Sparsities: (tensor(0.3021, device='cuda:0'), tensor(0.7354, device='cuda:0')), Rho Sparsities: (tensor(0.6221, device='cuda:0'), tensor(0.7529, device='cuda:0'), tensor(0.6094, device='cuda:0'), tensor(0.7000, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 6, Test Accuracy: 0.6561108028849965, Val Accuracy: 0.658814917104092, Val Loss: 0.8953545024605836, Phi Sparsities: (tensor(0.3333, device='cuda:0'), tensor(0.7881, device='cuda:0')), Rho Sparsities: (tensor(0.7012, device='cuda:0'), tensor(0.8154, device='cuda:0'), tensor(0.6768, device='cuda:0'), tensor(0.7531, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 7, Test Accuracy: 0.6537607989220893, Val Accuracy: 0.6564923343121678, Val Loss: 0.9026408495546199, Phi Sparsities: (tensor(0.3594, device='cuda:0'), tensor(0.8369, device='cuda:0')), Rho Sparsities: (tensor(0.7632, device='cuda:0'), tensor(0.8623, device='cuda:0'), tensor(0.7285, device='cuda:0'), tensor(0.8094, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 8, Test Accuracy: 0.6473963699770151, Val Accuracy: 0.6500253720541381, Val Loss: 0.9190041045753323, Phi Sparsities: (tensor(0.4167, device='cuda:0'), tensor(0.8682, device='cuda:0')), Rho Sparsities: (tensor(0.8140, device='cuda:0'), tensor(0.8926, device='cuda:0'), tensor(0.7822, device='cuda:0'), tensor(0.8562, device='cuda:0'))
